brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,34649
Lenovo,Intel,4 GB,0 GB,1024 GB,64-bit,No,38999
Lenovo,Intel,4 GB,0 GB,1024 GB,64-bit,No,39999
ASUS,Intel,8 GB,512 GB,0 GB,32-bit,No,69990
ASUS,Intel,4 GB,0 GB,512 GB,64-bit,No,26990
ASUS,Intel,4 GB,0 GB,512 GB,64-bit,No,22990
ASUS,Intel,4 GB,0 GB,512 GB,32-bit,No,21990
ASUS,Intel,8 GB,0 GB,1024 GB,32-bit,No,58799
Lenovo,Intel,4 GB,0 GB,1024 GB,32-bit,No,49999
acer,AMD,4 GB,0 GB,512 GB,32-bit,No,59990
acer,AMD,4 GB,0 GB,512 GB,32-bit,No,93700
acer,AMD,4 GB,0 GB,512 GB,32-bit,No,72990
Avita,Intel,4 GB,0 GB,512 GB,64-bit,No,17490
ASUS,Intel,4 GB,0 GB,512 GB,64-bit,No,22990
ASUS,Intel,4 GB,256 GB,0 GB,64-bit,No,35990
HP,Intel,8 GB,256 GB,0 GB,64-bit,Yes,56490
HP,Intel,8 GB,256 GB,0 GB,64-bit,No,65390
Lenovo,Intel,4 GB,256 GB,0 GB,64-bit,No,31999
HP,Intel,8 GB,256 GB,0 GB,64-bit,No,32490
Lenovo,Intel,4 GB,256 GB,0 GB,64-bit,No,31799
ASUS,Intel,4 GB,256 GB,0 GB,64-bit,No,29890
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,23990
HP,Intel,4 GB,0 GB,1024 GB,64-bit,No,32955
HP,Intel,4 GB,0 GB,1024 GB,32-bit,No,46200
ASUS,Intel,4 GB,256 GB,0 GB,64-bit,No,34429
Lenovo,Intel,8 GB,256 GB,0 GB,32-bit,No,37990
ASUS,Intel,4 GB,256 GB,0 GB,32-bit,No,35990
ASUS,Intel,8 GB,256 GB,0 GB,64-bit,No,33980
HP,Intel,8 GB,256 GB,0 GB,64-bit,No,39990
DELL,Intel,8 GB,256 GB,0 GB,64-bit,No,39490
HP,Intel,8 GB,256 GB,0 GB,64-bit,Yes,53990
acer,Intel,8 GB,256 GB,0 GB,64-bit,No,38990
ASUS,Intel,8 GB,256 GB,0 GB,64-bit,No,37990
ASUS,Intel,8 GB,256 GB,0 GB,64-bit,No,37890
